"title","subtitle","place","period","publisher","periodicity","language"
"Matraca","folha illustrada","Desterro [Florianópolis, SC]","1887","","Semanal","por"
"Matraca","periodico critico","Desterro","1882-1887","Typ. de Alex Margarida","2 vezes por semana","por"
"Matto Grosso","revista mensal de sciencias, lettras, artes e veriedades","Cuiabá, MT","1907-1915","[s.n.]","","por"
"Mauricéa","","Recife, PE","1923","","Desconhecida",""
"Mecenas","","Porto Alegre, RS","1894-1895","Livraria Americana","Quinzenal","por"
"Meia Hora","de Notícias","Rio de Janeiro","2005-2012","Editora O Dia S.A.","Diária","por"
"Memorias da Associacao Culto a Sciencia","","São Paulo, SP","1859","Typ. Litteraria","Desconhecida","por"
"Memorias Estudantis","orgao oficial da uniao cultural dos estudantes de Nanuque","Nanuque, MG","1964","[s.n.]","","por"
"Memorias Estudantis","orgao oficial da uniao cultural dos estudantes de Nanuque","Nanuque, MG","1967","[s.n.]","","por"
"Mensageiro","","Belém, PA","1979 - 2016","","Indeterminada","por"
"Mensageiro","Carta D'Alforria","","","","Indeterminada","por"
"Mensageiro","orgam de propaganda spirita ","Manaus, AM","1901-1902","","2 vezes por mês",""
"Mensageiro","orgao critico e prozaico","Fortaleza","","[s.n.]","Desconhecida","por"
"Mensageiro","orgao da cathedral","Florianópolis, SC","1922","","Desconhecida","por"
"Mensageiro do Coração de Jesus","","Itu, SP","1896-","O Apostolado","","por"
"O Mensageiro","jornal industrial, noticioso e litterario","Desterro [Florianópolis, SC]","1855-1857","Typ. Catharinense","Desconhecida","por"
"O Mensageiro","orgam Christao de propaganda evangelica","São Francisco do Sul, SC","1905-1919","[s.n.]","Mensal","por"
"Mensagem","","Sete Lagoas, MG","1963","","Desconhecida",""
"Mensagem apresentada a Camara Municipal pelo prefeito ... / Prefeitura Municipal de Nictheroy","","Rio de Janeiro, RJ","","Typographia do Jornal do Commercio","Desconhecida","por"
"Mensagem apresentada ao Congresso Constituinte do Ceará","pelo Exmo. Sr. General de Divisão José Clarindo de Queiroz","Fortaleza, CE","1891-1930","Typographia Economica","Indeterminada","por"
"Mensagem apresentada ao congresso contituinte do Parahyba pelo governador do estado Venâncio Neiva ","","Paraíba","1891-1930","Typ. e Lith. do Pelicano de J. Seixas e Cia.","Indeterminada","por"
"Mensagem Dirigida","a assembléa legislativa do estado de Matto-grosso pelo vice-presidente coronel Generoso Paes Leme de Souza Ponce, em 1º junho de 1892 ","Cuiabá, MT","1892","Typographia do Estado","Indeterminada","por"
"Mensagem do Exm. Sr. Gregorio Thaumaturgo de Azevedo, presidente do estado, lida perante o congresso amazonense na sessão de 15 de setembro de 1891","","Amazonas","1891-1927","Typ. do Commercio do Amazonas","Indeterminada","por"
"Mensagem do governador de Sergipe","dirigida á assemblea legislativa do mesmo estado no dia da installação da 1 sessão da 1 legislatura","Aracaju, SE","1891-1930","Typ. da Gazeta de Sergipe","Indeterminada","por"
"Mensagem do Governador do Estado","enviada e lida perante o congressi legislativo do Paraná","Paraná","1892-1930","","Indeterminada","por"
"Mensagem do Governador Dr. Pedro Velho de Alburqueque Maranhão e Relatório apresentados pelos chefes das repartições públicas estadoaes do Rio Grande do Norte","","Natal, RN","1890-1930","Typog. d'A Republica","Indeterminada","por"
"Mensagem e Relatórios apresentados a Assembléa Geral Legislativa pelo Chefe de divisão reformado Joaquim Leal Ferreira","","Bahia [Salvador, BA]","1892-1930","Typographia e encadernação do Diário da Bahia","Indeterminada","por"
"Mensagem enviada á assemblea dos representantes do estado do Rio Grande do Sul","","Porto Alegre, RS","1891-1930","Typographia de Cesar Reinhardt","Indeterminada","por"
"Mensagem lida perante a assembléa constituinte do Estado do Rio de Janeiro","pelo governador o contra almirante Carlos Balthazar da Silveira","Rio de Janeiro, RJ","1892-1930","Typ. de G. Leuzinger & Filhos, Rua d'Ouvidor","Indeterminada","por"
"Mensagens lidas na abertura do congresso constituinte","a 28 de abril de 1891 e na abertura do primeiro congresso legislativo a 29 de setembro de 1891","","","","Indeterminada","por"
"Mensario dos Alfaiates","orgao da Associacao Beneficente dos Alfaiates e Costureiras do Estado de Minas Geraes","Belo Horizonte, MG","","","Desconhecida","por"
"Mensario dos Alfaiates","orgão da Associação Beneficente dos Alfaiates e Costureiras do Estado de Minas Gerais","Belo Horizonte, MG","1954","","Desconhecida",""
"Mephisto","orgam dos conspiradores infernaes","Fortaleza, CE","1893","[s.n.]","Anual","por"
"Mephistopholes","","Rio de Janeiro, RJ","1874-1875","[s.n.]","","por"
"Mequetrefe","jornal de todos e de tudo","Fortaleza","1881-","Typ. do Mercantil","Semanal","por"
"Mequetrefe","jornal illustrado","Florianópolis, SC","1895","","Desconhecida","por"
"O Mercador","folha commercial e noticiosa","Desterro [Florianópolis, SC]","1861","Typ. Commercial de F. M. R. d'Almeida","Desconhecida","por"
"Mercantil","folha da tarde","Porto Alegre, RS","1893","[s.n.]","Desconhecida","por"
"Mercantil","jornal commercial, noticioso, litterario e ecclesiastico","Maceió, AL","1863-","Typ. Imparcial Alagoana","Desconhecida","por"
"Mercantil","jornal commercial, noticioso, litterario e ecclesiastico","Maceió, AL","1863-","[s.n.]","Desconhecida","por"
"Mercantil","orgam dos interesses industriaes","Fortaleza, CE","1875-","[s.n.]","Semanal","por"
"Mercantil do Pilar","é destinado a zelar e desenvolver os interesses do commercio, da agricultura, da industria, do foro, da medicina, da religiao e da litteratura","Pilar, AL","1870","Typ. do Mercantil do Pilar","Bissemanal","por"
"O Mercantil","","São Paulo, SP","","","Desconhecida","por"
"Merrimac : publicacao hedbomadaria humoristica, critica, satirica e litteraria","","Rio de Janeiro, RJ","1863-","Typ. Portugal e Brasil","Semanal","por"
"Messias Politico","","Rio de Janeiro, RJ","1868","Typ. Industria Nacional","Desconhecida","por"
"Metas :","O Seu Jornal.","Gaspar, SC","2001-2023","","Bissemanal","por"
"Meteoro","orgão do grêmio litterario Junqueira Freire","Rio de Janeiro, RJ","1883-","Typ. Economica","Quinzenal","por"
"Methodista Catholico","","Juiz de Fora, MG","","","Desconhecida","por"
"Methodista Catholico","orgao da Igreja Methodista Episcopal do Brazil","Juiz de Fora, MG","","Typ. do Pharol","Quinzenal","por"
"A Metralhadora","jornal satyrico","Fortaleza","1877","[s.n.]","Desconhecida","por"
"O Mez","orgao de propaganda commercial","Tubarão, SC","1907","[s.n.]","Desconhecida","por"
"O Mez","Revista Literaria Commercial, Agricola, Politica, Scientica","Olinda, PE","1910 a 1912","","Mensal","por"
"O Militar no Rio de Janeiro","","Rio de Janeiro, RJ","1833","Typ. de Miranda e Carneiro","Desconhecida","por"
"Minas Academica","orgam do Centro Academico Mineiro","São Paulo, SP","1892","Typ. da Platea","Mensal",""
"Minas artística","","Belo Horizonte, MG","1901-","Typ. Beltrão","","por"
"Minas do Sul","orgao do club separatista trinta e um de janeiro","Campanha, MG","1893","[s.n.]","Semanal","por"
"Minas do Sul","semanario politico, litterario e noticioso","Campanha, MG","1876","Typ. do Minas do Sul","Semanal","por"
"Minas Geraes : orgam official dos poderes do estado","","Ouro Preto, MG","1892-1900","Imp. de Minas","","por"
"Minas jornal","","Conselheiro Lafaiete, MG","1938-1942","","Desconhecida",""
"Mineiro do Sul","orgao do commercio, lavoura e industria","Três Corações, MG","1889","Typ. do Mineiro do Sul","Semanal","por"
"O Mineiro","orgam do municipio de Cresciuma","Cresciuma [Criciúma, SC]","1926-","[s.n.]","Quinzenal","por"
"Minerva : folha politica, litteraria e commercial","","São Luis, MA","1828-1829","[s.n.]","","por"
"Minerva","jornal scientifico, litterario e critico","Rio de Janeiro, RJ","1867-","Typ. e Lith. Esperanca","4 vezes por semana","por"
"Minerva","rivista mensile","Rio de Janeiro, RJ","1921-","[s.n.]","Mensal","por"
"Minerva Brasiliense : jornal de sciencias, lettras e artes","","Rio de Janeiro, RJ","1843-1845","Typ. de J.E.S. Cabral","Bimensal","por"
"Minerva Brasiliense","bibliotheca brasilica, collecao de obras originais","Rio de Janeiro, RJ","1844-1845","Typ. Austral","","por"
"Minerva Fluminense : revista mensal","","Rio de Janeiro, RJ","1887-","Imp. Monte Oliveira","Mensal","por"
"Mini-Jornal","","Brumadinho, MG","1973-1977","[s.n.]","","por"
"Mirim","orgao do club dos estudantes","Bragança Paulista, SP","1877-1879","[s.n.]","Mensal","por"
"Mirim","revista juvenil","Rio de Janeiro, RJ","1937-1945","","Desconhecida","por"
"Miscellanea Litteraria","","Porto [Portugal]","1860","","","por"
"Miscellanea poetica","jornal de poesias ineditas","Porto [Portugal]","1851-1852","[s.n.]","Semanal","por"
"O Missionario Catholico","jornal religioso, litterario, historico e philosophico","Rio de Janeiro, RJ","1865-","Typ. Industria Nacional de Cotrim & Campos","Semanal","por"
"Missões","orgão defensor dos direitos paranaense","União da Vitória, PR","1915","","Desconhecida","por"
"Mitteilungen","des evang. Ptarramtes Santa Thereza in Brasilien","Santa Thereza [Santa Teresa, ES]","1921","[s.n.]","Indeterminada","por"
"Mitteilungen","deutschen schulvereins fur St. Catharina (Sud Brasilien)","Blumenau, SC","1907","[s.n.]","Indeterminada","por"
"Mocidade : revista para a juventude estudiosa","","Maceió, AL","1946-1949","[s.n.]","Mensal","por"
"Mocidade","periodico noticioso, litterario e recreativo","Rio de Janeiro, RJ","1877-","Typ. de Domingos Luiz dos Santos","","por"
"A Mocidade","","Diamantina, MG","1878","Typ. de L.A. dos Reis","Semanal","por"
"Modearte","","São Paulo, SP","1927","Empreza Lilla-Editora Internacional","Desconhecida",""
"Módulo","revista de arquitetura e artes plasticas","Rio de Janeiro, RJ","1955-1986","Avenis Ed.","Trimestral","por"
"O Moleque","","Desterro [Florianópolis, SC]","","","Desconhecida","por"
"Momento Feminino","","Rio de Janeiro, RJ","1947-1956","[s.n.]","","por"
"O Momento","diario do povo","[S.l.]","1948-","s.n.]","Desconhecida","por"
"A Monarchia","jornal commercial, político, litterário e noticioso","Rio de Janeiro, RJ","1875-1878","Typ. de Machado, Costa & C.","Desconhecida","por"
"Monarchista Imparcial","","Rio de Janeiro, RJ","1841","[s.n.]","","por"
"Monitor : Revista dos interesses publicos","","São Luis, MA","1870-","[s.n.]","","por"
"Monitor Brasileiro","","Rio de Janeiro, RJ","1858","[s.n.]","","por"
"Monitor Campista","","Campos dos Goytacazes, RJ","1834","S/A Monitor Campista","Diária","por"
"Monitor Catholico","diocese de São Paulo","São Paulo, SP","1879","Typ. da Constituinte","Semanal",""
"Monitor de Taubate ","orgam popular","Taubaté, SP","1877-","Typ. do Monitor de Taubate","Desconhecida","por"
"Monitor do Norte","jornal litterario, scientifico e noticioso","Diamantina, MG","1874","Typ. do Monitor do Norte","Semanal","por"
"Monitor do Norte","periodico dedicado a interesse moral e material","Manaus, AM","1878","Typ. do Monitor do Norte","Semanal","por"
"Monitor Macahense","jornal politico, litterario, commercial e agricola","Macaé, RJ","1864-1870","","2 vezes por semana","por"
"Monitor Mineiro","folha popular","Guaranésia, MG","1906","","Desconhecida",""
"Monitor Paulista","politico e litterario","Bananal, SP","1878","Typ. do Monitor Paulista","Semanal","por"
"O Monitor Popular","jornal de sciencias medicas e de interesses populares","Rio de Janeiro, RJ","1870","Typ. de Francisco Alves de Souza","Semanal","por"
"Monitor Serrano","orgao neutro as luctas politicas","Cruz Alta, RS","1884","","Desconhecida",""
"Monitor Sul-Mineiro","semanário de litteratura industria e noticias","Campanha, MG","1917","Typ. de B.S. da Veiga","Semanal",""
"Monitor Uberabense","orgam politico, litterario, noticioso e commercial","Uberaba, MG","1881","Typ. do Monitor Uberabense","Semanal","por"
"O Monitor","","Therezina [Teresina, PI]","","","Desconhecida","por"
"O Monitor","orgão conservador","Paraiba do Norte [Paraíba]","1885-1887","[s.n.]","Semanal","por"
"Montanha","","Belo Horizonte, MG","1957","","Desconhecida","por"
"O Montanista","publicaçao critica sobre theatros","Rio de Janeiro, RJ","1851","Typ. de F.A. de Almeida","Irregular","por"
"Monte Carmello","","Monte Carmello [Monte Carmelo, MG]","","","Desconhecida","por"
"Monte Carmello","orgam de propriedade de uma sociedade anonyma","Monte Carmelo, MG","1922","","Desconhecida",""
"Montes Claros","semanario noticioso e litterario","Montes Claros, MG","1893","Typ. do Montes Claros","Semanal","por"
"Montes Claros","semanario noticioso e litterario","Montes Claros, MG","1893-","Typ. do Montes Claros","Semanal","por"
"Morcego","","Fortaleza","1881-","Imp. no Bairro Vermelho","Desconhecida","por"
"Mororo","jornal neutro entre os partidos politicos","Fortaleza","1899-","Typ. Universal","2 vezes por semana","por"
"A Mosca","","Rio de Janeiro, RJ","1898","[s.n.]","Desconhecida","por"
"Der Mosquito","neve velha","[S.l.]","1930-","[s.n.]","Indeterminada","por"
"O Mosquito","jornal critico e noticioso","Desterro [Florianópolis, SC]","1927","","Desconhecida","por"
"O Mosquito","periodico semanal de principios agradaveis, criticos e litterarios","Desterro [Florianópolis, SC]","1888-1889","Typ. Praça B. da L","Semanal","por"
"Motor","","Rio de Janeiro, RJ","1940 a 1957","","Bimestral","por"
"O Movietone","boletim de propaganda do ""Cine-Theatro Centro Popular""","Florianópolis, SC","1931","","Desconhecida","por"
"Movimento","","Rio de Janeiro, RJ","1928-1930","","Desconhecida","por"
"Movimento","","São Paulo, SP","1975-1981","Edicao S.A. Editora de Livros Jornais e Revistas","Semanal","por"
"Movimento","orgão do centro academico XI de fevereiro","Florianópolis, SC","1968 a 1969","","Indeterminada","por"
"Movimento","revista de crítica e informação","Rio de Janeiro, RJ","1928-1928","[s.n.]","","por"
"Movimento Medico","","[S.l.]","1876-","Typ. do Paiz","Mensal","por"
"O Movimento","jornal commercial e noticioso","Rio de Janeiro, RJ","1872","Typ. Lith. do Movimento","Diária","por"
"Mudança","","Santa Catarina","1982","","Indeterminada","por"
"Mulherio","","São Paulo, SP","1981-","Fundação Carlos Chagas","Bimestral","por"
"O Mundo Elegante","revista quinzenal illustada de modas, musica, bellas-artes, ..","Paris [França]","","Imp. de L'Art et moreau et Lie","Quinzenal","por"
"Mundo Esportivo : um semanario completo dos esportes","","São Paulo, SP","1946-1959","[s.n.]","","por"
"Mundo Ilustrado","","Rio de Janeiro, RJ","1930","O Mundo Gráfica e Editora","Semanal","por"
"Mundo infantil","orgao official do bom-humor : semanario illustrado da Casa Editora Vecchi","Rio de Janeiro, RJ","1929","Casa Editora Vecchi","Semanal","por"
"Mundo Novo","","São Paulo, SP","1950","","Indeterminada",""
"Municipio","","Itapetininga, SP","1877","Typ. do Municipio","6 vezes por mês","por"
"Município","Dia a Dia","Brusque, SC","2005 a 2019","","Diária","por"
"Municipio","liberdade, ordem, progresso","Fortaleza, CE","","Typ. do Municipio","Desconhecida","por"
"Municipio","orgão dos interesses locaes","Itacoatiara, AM","1893","","Semanal",""
"Municipio de Araraquara","","Araraquara, SP","1884","","Semanal",""
"Municipio de Caldas","orgão municipal","Caldas, MG","1907","","Desconhecida",""
"Municipio de Cambucy","orgão do partido republicano fluminense e defensor do interesses do municipio","Cambuci, RJ","1899","Typ. do Commercio","Semanal",""
"O Municipio de Joinville","","Joinville, SC","1919-1920","[s.n.]","Semanal","por"
"Municipio de Palhoca","Orgao do Partido Republicano Catharinense","Palhoça, SC","1921","[s.n.]","Desconhecida","por"
"Municipio de Pitangui","órgão oficial dos poderes municipais","Pitangui, MG","1957","","Desconhecida",""
"Municipio de S. Anna","neutro entre os partidos","Santa Ana, CE","1882-","Typ. do Municipio de S. Anna","3 vezes por mês","por"
"Municipio do Curvello","orgão do partido republicano","Curvelo, MG","1896-1897","","Desconhecida",""
"O Municipio Neutro","jornal politico e dedicado ao commercio,a lavoura e a industria","Rio de Janeiro, RJ","1881-","[s.n.]","Semanal","por"
"O Municipio","","Vassouras, RJ","","[s.n.], 1873-","Desconhecida","por"
"O Municipio","","Curitiba, PR","","","Desconhecida","por"
"O Municipio","","Tubarão, SC","","","Desconhecida","por"
"O Municipio","orgao da lavoura, commercio e industria","São Luis do Quitunde, AL","1880","[s.n.]","Indeterminada","por"
"O Municipio","orgao noticioso","Campos Novos, SC","1924-","[s.n.]","3 vezes por mês","Texto em portugues"
"O Municipio","orgão republicano","Lages, SC","1896","[s.n.]","Semanal","por"
"O Municipio","publicaçao semanal","Säo José","1929","[s.n.]","Semanal","por"
"Muriahe","orgam consagrado aos interesses da zona alta Muriahe","Muriaé, MG","1888","[s.n.]","Semanal","por"
"Murmurios Juvenis","jornal scientifico e litterario publicado pela associacao amor a sciencia","São Paulo, SP","1859-","Typ. Litteraria","Desconhecida","por"
"A Musa","periodico humoristico, litterario e theatral","Rio de Janeiro, RJ","1899-","","Mensal",""
"Museo Maranhense : periodico de instruccao e recreio","","[S.l.]","1842-","Typ. Monarchica Constitucional de F. de S.N. Cascaes","Quinzenal","por"
"Museo Pittoresco Historico e Litterario, ou Livro Recreativo das Familias","","Rio de Janeiro, RJ","1848","Typ. Universal de Laemmert","Semanal",""
"Museo Pittoresco Historico e Litterario, ou Livro Recreativo das Familias","","Rio de Janeiro, RJ","1848-","Typ. Universal de Laemmert","Semanal","por"
"Museu Recreativo","","Rio de Janeiro, RJ","1876 a 1877","","Desconhecida","por"
"A Mutuca Picante","","Rio de Janeiro, RJ","1834-1835","Typ. de Thomaz B. Hunt","2 vezes por semana","por"
"Myrto e Acacia : orgam do Instituto Neo-Pythagorico","","Curitiba, PR","1916-1920","[s.n.]","","por"
"Mysterios do Rio de Janeiro ou Os Ladrões de Casaca","","Porto [Portugal]","1874","","Desconhecida","por"
"Na Estacada","","Rio de Janeiro, RJ","1907","","Quinzenal","por"
"Nação","matutino politico e noticioso","Fortaleza","1932","[s.n.]","Desconhecida","por"
"Nação Brasileira","","Rio de Janeiro, RJ","1933 - 1952","","Mensal","por"
"Nação Brasileira","","Rio de Janeiro, RJ","1923 - 1947","","Mensal","por"
"Nação Brasileira","","Guaranésia, MG","1925","","","por"
"O Nacional","","Bahia [Salvador, BA]","1884-","Typ. de A.O da Franca Guerra","2 vezes por semana","por"
"O Nacional","","[S.l.]","1890-","Typ. do Globo","Diária","por"
"O Nacional","","Rio de Janeiro, RJ","1832-","Typ. Brazileira","Desconhecida","por"
"O Nacional","orgam independente e noticioso","Blumenau, SC","1918","[s.n.]","Semanal","por"
"O Nacional","orgam republicano nativista","Belém, PA","1895-","[s.n.]","Semanal","por"
"O Navio","orgam scientico e litterario","Manaus, AM","1913","","Quinzenal",""
"A Nebulosa","periodico instructivo, litterario e noticioso","Rio de Janeiro, RJ","1879","Typ. Cosmopolita","Quinzenal","por"
"O Netto","orgam critico e noticioso","Florianópolis, SC","1898","","Desconhecida","por"
"O Nicodemos","","Rio de Janeiro, RJ","1851","Typ. Franceza","Desconhecida","por"
"Nicolau","","Curitiba, PR","","","Desconhecida","por"
"Nictheroyense","periodico critico e litterario","Nictheroy [Niterói, RJ]","1883","Typ. do Nictheroyense","Varia",""
"Niger","publicaçao a serviço da coletividade negra","São Paulo, SP","1960","","Mensal",""
"Nihilista","","Baturite, CE","","Typ. do Nihilista, 1881-","Semanal","por"
"Nitheroy","revista brasiliense, sciencias, lettras e artes","Paris [França]","1836","Imprimerie de Beaule et Jubin","","por"
"Annaes Fluminense de Sciencias, Artes e Literatura","","Rio de Janeiro, RJ","1822-","Typ. de Santos e Sousa","Desconhecida","por"
"Annuario do Ensino","","Rio de Janeiro, RJ","1895","[s.n.]","","por"
"Annuario médico brasileiro","","Rio de Janeiro, RJ","1886-1887","Serafim Jose Alves-Livreiro-Editor","","por"
"No Cemiterio","","Porto Alegre, RS","1907","[s.n.]","Desconhecida","por"
"Norte de Goyaz","","Porto Nacional, TO","1906-1912","[s.n.]","","por"
"O Norte do Espirito Santo","orgão dedicado aos interesses da Comarca de São Matheus","São Matheus [São Mateus, ES]","1891","[s.n.]","Desconhecida","por"
"Norte Mineiro","orgam do Partido Republicano Mineiro do municipio","Peçanha, MG","1921","","Desconhecida",""
"O Norte","","Parahyba do Norte [Paraíba]","1908-","","Desconhecida","Texto em português"
"Norte-Academico","periodico da Faculdade da Bahia","Bahia [Salvador, BA]","1875-","Imprensa Economica","Quinzenal","por"
"Nortista","","Sobral","1913-1914","[s.n.]","","por"
"Nortista","","Parnaiba, PI","1901-1902","Typ. do Nortista","Semanal","por"
"Nossa Folha","orgao cultural e noticioso","Pires do Rio, GO","1939-","","Desconhecida",""
"Nossa Folha","orgão do grêmio ""Cid Rocha Amaral"" da escola industrial de Florianópolis","Florianópolis, SC","1946 a 1948","","Indeterminada","por"
"Nossa terra","","Florianópolis, SC","1926","","Desconhecida","por"
"Nossa Voz","","São Paulo, SP","1947-1962","[s.n.]","","yid"
"Nosso Jornal","","Florianópolis, SC","1937 - 1985","","Desconhecida","por"
"Nosso Jornal","","Blumenau, SC","1960-1985","","",""
"Nosso Jornal","orgão dos alunos do curso primário e complementar do grupo escolar modelo ""Pedro II""","Blumenau, SC","1950 a 1953","","Indeterminada","por"
"Nosso Mundo","Jornal Cultural","Caxias do Sul, RS","1968","","Desconhecida","por"
"A Nota","hebdomadario, politico, literario e noticioso","Porto Uniao","1930","[s.n.]","Desconhecida","por"
"Notas a Margem","chronica quinzenal","Rio de Janeiro, RJ","1887","","Quinzenal","por"
"Notas a Margem","chronica quinzenal","Rio de Janeiro, RJ","1887-","Typ. e Lith. Moreira Maximino","Quinzenal","por"
"Notas politicas","","Rio de Janeiro, RJ","1891","Companhia Editora Fluminense","Desconhecida","por"
"A Noticia de Ouro Fino","","Ouro fino, MG","1979-1982","[s.n.]","Desconhecida","por"
"A Noticia","","Rio de Janeiro, RJ","1894-","[s.n.]","Desconhecida","por"
"A Noticia","hebdomadario","Lages, SC","1912-","[s.n.]","Semanal","por"
"A Noticia","jornal independente e noticioso","Jaguaruna","1932","Of. Graficas O lliberal","Desconhecida","por"
"A Noticia","semanario independente","Joinville, SC","1923-1944","","Diária",""
"Noticiador","folha noticiosa e commercial","Paranaguá, PR","[1882]-","Typ. de Izidoro Azevedo","Semanal","por"
"Noticiador Cuiabano","","Cuiabá, MT","1857-1859","Typ. do Noticiador Cuiabano","","por"
"Noticiador de Minas","","Ouro Preto, MG","1868-1873","Typ. J.F. de Paula Castro","","por"
"Noticiador de Minas","","Ouro Preto, MG","1868-1873","Typ. J.F. de Paula Castro","","por"
"Noticiador Sergipense : folha official, politica e litteraria","","Aracaju, SE","1835-","Typ. de Silveira","2 vezes por semana","por"
"Noticiador Sergipense","folha official, politica e litteraria","Sergipe","1835-","[s.n.]","2 vezes por semana","por"
"O Noticiador","","Penedo","1890-1892","Typ. de Carvalho Sobrinho","Semanal","por"
"Noticias","","São Luis, MA","1933-1934","[s.n.]","","por"
"Noticias de Ebano","orgao noticioso de Ebano Atletico Clube","Santos, SP","1957","","Indeterminada",""
"Noticias do Vale","","Belo Horizonte, MG","1973","","",""
"Nova Alvorada","revista mensal litteraria e scientifica","Vila Nova de Famalicão [Portugal]","1891-1903","Typ. Minerva","Mensal","por"
"Nova Aurora","periodico litterario e noticioso","Nictheroy [Niterói, RJ]","1879","Typ. do Fluminense","Semanal",""
"A Nova Crença","","Maceió, AL","1884","Typ. Amintas de Mendonça","Semanal","por"
"A Nova Epocha","folha politica e industrial","São Luiz [São Luis, MA]","1856-","Typ. da Temperanca","Desconhecida","por"
"Nova era","orgam do Partido Republicano Mineiro do municipio","Rio Pomba, MG","1925","","",""
"Nova Era","publicação da União Commercial","Rio de Janeiro, RJ","1901","","Mensal",""
"Nova Lima Notícias","orgão independente, de publicação mensal","Nova Lima, MG","1979","","Mensal",""
"Nova Luz Brazileira","","Rio de Janeiro, RJ","1831","Typ. de Lessa e Pereira","","por"
"Nova Phase","orgão destinado a defesa dos interesses do municipio","Carangola, MG","1917","","",""
"Nova Philadelphia","","Teófilo Otoni, MG","1897","Typ. Praça Tiradentes","Semanal","por"
"A Nova Revista","","Rio de Janeiro, RJ","1896-","Typ. Aldina","Mensal","por"
"Nova Sentinella da Liberdade : na guarita do forte de S. Pedro na Bahia de Todos os Santos","","[S.l.]","1831-","Typ. de J. Franco Lima","Desconhecida","por"
"Nova-Cruzada","publicaçao semanal","Florianópolis, SC","1918","[s.n.]","Semanal","por"
"Novas Diretrizes","","Rio de Janeiro, RJ","1938-1942","[s.n.]","","por"
"Novidade : semanario illustrado","","Maceió, AL","1931","Typ. Liv. Villas Boas","","por"
"A Novidade","","Rio de Janeiro, RJ","1834-1835","Typ. Fluminense de Brito","Desconhecida","por"
"A Novidade","folha critica, litteraria e recreativa","Rio de Janeiro, RJ","1883","[s.n.]","Quinzenal","por"
"Novidades","","Porto Alegre, RS","1923","","Varia",""
"Novidades","","Rio de Janeiro, RJ","1887-1892","[s.n.]","Desconhecida","por"
"O Novidades","orgam noticioso","Itajaí, SC","1904 a 1921","","Desconhecida","por"
"Novissimo catalogo de escolhidos livros em portuguez publicados e a venda no Rio de Janeiro na Livraria Universal","","Rio de Janeiro, RJ","1868","Typ. Universal de Laemmert","Anual","por"
"Novo Almanach de lembranças luso-brasileiro","","Lisboa [Portugal]","1879","Typ. Lallement Freres","Anual","por"
"Novo Almanach de Sao Paulo","","São Paulo, SP","1883","Jorge Seckler e C.","Anual","por"
"Novo Brazil","periodico politico","Rio de Janeiro, RJ","1869","Typ. de Quirino e Irmaos","Bissemanal","por"
"O Novo Cantagalo","","Cantagalo, RJ","1954-","[s.n.]","","por"
"Novo correio de modas","novellas, poesias, viagens, recordações historicas, anedotas e charadas","Rio de Janeiro, RJ","1852-1854","[s.n.]","","por"
"Novo despertador constitucional : periodico politico e litterario","","Rio de Janeiro, RJ","1852-","Typ. Guanabarense de L.A.F. de Menezes","Indeterminada","por"
"Novo Dia","","Manaus, AM","1890","Typ. do Livro do Povo","Semanal","por"
"Novo Diario da Bahia : jornal politico e commercial","","[S.l.]","1837-1838","Typ. do Diário","Diária","por"
"Novo Horizonte","orgao de propaganda unificada. ","São Paulo, SP","1946-1961.","","Mensal",""
"O Novo Tamoyo","","Rio de Janeiro, RJ","1831-","Typ. de Gueffier e C.","Desconhecida","por"
"Novos Rumos","","Rio de Janeiro, RJ","","Partido Comunista do Brasil","Semanal","por"
"La Nuova Urussanga","giornale degli interessi coloniali del sud dello stato","Urussanga, SC","1917","[s.n.]","Desconhecida","por"
"O 14 de Agosto","","Victoria de Santo Antão [Vitória de Santo Antão, PE]","1891","[s.n.]","Número único","por"
"O 15 de Novembro","orgam republicano","Sorocaba, SP","1895","[s.n.]","Diária","por"
"O 5 de Agosto","","[S.l.]","1849","Typ. Amor da Pattria","","por"
"O Abadiense","","Abadia, MG","1934","[s.n.]","","por"
"O Abaete : jornal noticioso a servico do progresso de nossa terra","","Abaeté, MG","1948-4949","[s.n.]","","por"
"O Abaete : orgam semanal","","Abaeté, MG","1904-1905","[s.n.]","","por"
"O Abaeteense","","Abaete [Abaetetuba, PA]]","1884","[s.n.]","","por"
"O Abatira","","Santo Amaro, BA","1850-1851","Typ. Liberal","Desconhecida","por"
"O Abece","orgam dos Alumnos da Classe Media","Rio de Janeiro, RJ","1917-","Typ. Aguiar","Mensal","por"
"O Abecê...","orgam dos alumnos da classe media.","Rio de Janeiro, RJ","1917","Typ. Aguiar","Mensal",""
"O Abelhudo : folha dos curiosos","","São Luis, MA","1898-1899","Typ. do Regeneraçao","","por"
"O abolicionismo","","Baependi, MG","1884","[s.n.]","","por"
"O abolicionismo em Pernambuco","","Belém, PA","1884","[s.n.]","","por"
"O Abolicionista : orgão da sociedade brasileira contra a escravidao","","Rio de Janeiro, RJ","1880-1881","Typ. da Gazeta de Noticias","","por"
"O Abolicionista","publicaçao quinzenal da sociedade Libertadora Sete de Setembro","Bahia [Salvador, BA]","1871-1874","Typ. do Correio da Bahia","Quinzenal","por"
"O Abolicionista","rascunho","","1880","","","por"
"O Abrolho","pasquim hypothetico e sufflagante","Queluz de Minas [Conselheiro Lafaiete, MG]","1922","","Desconhecida",""
